Id,Label
1,大数据
2,宏观质量管理
3,协同治理
4,旅游市场
5,多元共治
6,商品交易市场
7,统计局
8,快递监管
9,数字经济
10,四大体系
11,区块链
12,工商局
13,信用分类
14,政府管理
15,物联网
16,网络订餐
17,智慧监管
18,申报系统
19,网络广告
20,信息化
21,监管体系
22,快递业
23,大数据交通
24,监管模式
25,权利保护
26,市场监管部门
27,市场监管工作
28,国家监督抽查
29,科技监管
30,网络服务
31,投诉举报
32,与数据相关行为
33,信用风险模型
34,数据库
35,业务流程
36,不合格产品发现率
37,智能政务
38,偿债意愿
39,监管
40,双随机一公开
41,监管效能
42,企业年报
43,android平台
44,工商部门
45,研判分析
46,市场监管体制
47,精准监管
48,云计算
49,信用监管
50,网络传销
51,地方政府
52,资本市场
53,网络交易
54,文化市场
55,多智能体
56,文本信息
57,人工智能
58,监管科技
59,文本挖掘技术
60,数字化
61,投资策略
62,食品监管
63,智能监管
64,市场监管总局
65,移动执法
66,法律法规
67,商事登记
68,战略规划
69,智慧旅游
70,市场监管
71,安全监管
72,事中事后
73,新职业
74,金融科技
75,快递市场
76,基础设施建设
77,信息披露
78,转型
79,人社部
80,移动互联网
81,债券市场
82,交通市场监管
83,智能金融
84,信息监测系统
85,效能评估
86,政府监管
87,交易操纵
88,政府体制改革
89,技术应用
90,后续监管
91,信息公示
92,企业资产证券化
93,食品经营户
94,市场监督
95,移动互联
96,工商行政管理
97,证券市场
98,智能化
99,智能投顾
100,法律问题
101,市场主体行为
102,大数据语境
103,人力资源市场
104,政府治理
105,智能监测
106,互联网+
